Temp-mgerleman	sg-04acae910ea3f4ded
ad-openvpn-ec2-mysql-sg	sg-0a0242cb666a77727
default	sg-00583512f71f9aacb
default	sg-06205abb6c82a1f3d
default	sg-0fbdc4c0eb975795c
github-actions-runner	sg-0f61e44f0b41b0441
jaspersoft-pg-clients	sg-02d65895708b59c9f
k8s-elb-a07698351686f4190bb9497de4a7b700	sg-003773d8cd2900509
k8s-elb-a96172e078faa445195770154332670a	sg-001759218b5414efe
k8s-elb-ad02dd0f847fd4df98b6686f794c46e9	sg-0cd9589f2b66fb9d3
k8s-elb-ad059058649054f0987959e445a8b673	sg-0acf8015f1ecf985e
k8s-elb-ad4211f9a13c14c6ba00c0a7744e574b	sg-0b2c5249ad99b044d
logrhythm	sg-0822a762cc184b75b
paa-tech-support-sg	sg-01871aa7220779894
powerbi-loadbalancer	sg-076c03ed2fc4b0cab
servicedesk	sg-06c99a30e0edaf0d1
svcs-eks20200624151448394000000001	sg-0f0b5d2eb834cce1f
svcs-eks20200624152701778200000006	sg-0e44f651e5810c10f
svcs-squid-instances	sg-048957feec9c17c46
temporary-use-postgres	sg-0977ac78011bf72c5
terraform-actions-runner	sg-0bde8493f3ee8f67d
vault-loadbalancer-sg	sg-0d4d9919c35ab9546
vault-standalone	sg-07a0f53f65cc667ec
